"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:59:26",419000372,18.95121,72.85724,200.0,0.0,511,9386134,"MV.CHANDRA SUN      ","AVOD   ",52,10,22,3,7,3.1,"MUMBAI              ","09-14 18:30"
"2018-10-23 00:59:27",419088600,18.92942,72.86112,230.4,0.0,511,9428566,"PFS COURAGE         ","AVBG   ",52,8,55,2,13,4.4,"MUMBAI              ","10-19 22:00"
"2018-10-23 00:59:30",419900778,18.89343,72.85217,207.3,8.1,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:30",419104000,18.95627,72.85913,166.6,0.0,1,9157179,"NAFISA I","VWZY",70,63,19,10,4,2.0,"MUMBAI","10-05 14:00"
"2018-10-23 00:59:30",419000218,19.22381,72.06007,359.4,1.2,53,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:31",419000359,18.91499,72.87337,26.8,1.9,511,0,"MPB-10","AVNT",70,60,5,10,3,0.0,"","00-00 24:60"
"2018-10-23 00:59:32",419093700,18.93488,72.26764,92.8,0.1,34,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:32",419000162,19.12264,71.83740,289.1,6.8,295,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:32",419000346,18.93960,72.84341,162.6,0.1,511,8216552,"MV SUMAYLA ONE","AVNG",90,11,49,3,9,3.2,"MUMBAI PLT STN","10-22 06:00"
"2018-10-23 00:59:34",419001117,18.92811,72.86803,151.3,0.1,171,9126039,"TAG 20              ","AWPB   ",70,21,67,9,9,5.0,"BFL                 ","08-30 14:00"
"2018-10-23 00:59:35",419001104,18.92883,72.84114,137.5,3.9,135,412000045,"WARSHIP 412        ","AWOO",0,18,30,4,4,0.0,"","00-00 24:60"
"2018-10-23 00:59:35",419001364,18.93145,72.86625,294.0,0.0,186,9299082,"PRIYA TWENTY THREE  ","AWYL   ",90,17,50,7,8,4.4,"MUMBAI              ","10-06 16:00"
"2018-10-23 00:59:35",419000339,18.91519,72.91108,194.6,0.0,234,0,"T203                ","AVMZ   ",90,5,8,2,2,0.9,"=                   ","00-00 24:60"
"2018-10-23 00:59:36",419901822,18.90803,72.82561,88.1,0.0,88,0,"ANGARIKA","8WKJ",30,14,5,4,4,0.0,"","00-00 24:60"
"2018-10-23 00:59:37",419059400,18.94078,72.85760,86.1,0.0,511,8217568,"OCEAN CREST         ","AUJV   ",52,10,26,3,7,3.9,"P&V MUMBAI ANCHORAGE","10-21 21:00"
"2018-10-23 00:59:38",419047300,18.95655,72.84838,0.0,0.0,511,8873439,"MV RAAVI","AUEJ",90,0,34,0,7,1.5,"MUMBAI","05-27 10:00"
"2018-10-23 00:59:38",419001353,18.94080,72.91918,230.8,5.8,230,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:40",419055600,18.94624,72.85716,12.5,2.2,8,9142679,"ANTAREJA            ","AUIA   ",33,24,23,5,6,2.8,"MUMBAI              ","09-26 08:00"
"2018-10-23 00:59:40",565653000,18.93603,72.89812,59.0,11.6,58,9326421,"WAN HAI 509         ","9VJJ7  ",70,209,59,11,21,12.3,"NSA                 ","10-23 06:30"
"2018-10-23 00:59:41",419076800,18.94720,72.86118,104.1,0.1,511,9510163," OFFSHORE RUNNER    ","AURQ   ",90,8,39,7,3,2.5,"TAPTI               ","05-28 16:00"
"2018-10-23 00:59:41",419901485,18.88055,72.82717,191.7,5.7,191,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:43",419017300,18.90555,72.85912,206.0,9.5,211,10267904,"DCI DREDGE_16","VWXU",90,30,92,11,9,0.0,"","00-00 00:00"
